listing_id,amen_balcony,amen_security,amen_covered_parking,amen_view_of_landmark,amen_shared_gym,amen_lobby_in_building,amen_central_a_c,amen_kitchen_appliances,amen_built_in_wardrobes,amen_shared_spa,amen_shared_pool,amen_walk_in_closet,amen_study,amen_children_s_pool,amen_view_of_water,amen_private_garden,amen_maids_room,amen_private_pool,amen_networked,amen_dining_in_building
W813J0V5DTQA1CR4AJ41AXXC9W,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
W9AMJSADBQ72Y9CPZ4NQKWNVCR,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
YQ32BGV9AKWYE5RRKMJBVWF2PC,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BKQ0SJXG4CMHRPY0EYZW7MMCTM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
YRE1TXPA2WJCSQHSKR16KTFE68,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
804Z7PBD50FBDWXY12XQ50S3MR,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0
C6NWJY2EF7SPC4JMSNHGWZQ1SG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S54XX8GTMM4W2BH4PP05KFJ518,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CK0T0EY5KTB8CD1R87ZR0NPT6M,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
WZA6BMNAYXVV1CBVPVM535618C,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3HHS7A4W2NT0C3XHRPTKWYHBZW,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
YKMB26TG788D5ZXRH1Y2B6NBMW,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
